barCode;entityType;introducedAt;retiredAt
ROL;Product;2025-12-15T20:43:00;
ROL-R;Product;2025-12-15T20:43:00;
ROL-RT;Product;2025-12-15T20:43:00;
ROL-RR;Product;2025-12-15T20:43:00;
MIN-18;Product;2025-12-15T20:43:00;
SAV;Product;2025-12-15T20:43:00;
SR-TOK;Product;2025-12-15T20:43:00;
SR-FS;Product;2025-12-15T20:43:00;
GY;Product;2025-12-15T20:43:00;
GY-A23;Product;2025-12-15T20:43:00;
GY-U32;Product;2025-12-15T20:43:00;
sines;Product;2025-12-15T20:43:00;
GY-E36;Product;2025-12-15T20:43:00;
GY-M47;Product;2025-12-15T20:43:00;
SR-MINI;Product;2025-12-15T20:43:00;
NP;Product;2025-12-15T20:43:00;
NP-S;Product;2025-12-15T20:43:00;
NP-SM;Product;2025-12-15T20:43:00;
NP-SK;Product;2025-12-15T20:43:00;
NP-B;Product;2025-12-15T20:43:00;
NP-BM;Product;2025-12-15T20:43:00;
NP-BK;Product;2025-12-15T20:43:00;
NP-C;Product;2025-12-15T20:43:00;
NP-CM;Product;2025-12-15T20:43:00;
NP-CK;Product;2025-12-15T20:43:00;
MT;Material;2025-12-15T20:43:00;
MT-L;Material;2025-12-15T20:43:00;
MT-P;Material;2025-12-15T20:43:00;
MT-Z;Material;2025-12-15T20:43:00;
NP-ROLL60-5000;Material;2025-12-15T20:43:00;
NP-ROLL60-6000;Material;2025-12-15T20:43:00;
NP-ROLL60-7000;Material;2025-12-15T20:43:00;
NP-BAR12-3000;Material;2025-12-15T20:43:00;
NP-BAR12-4000;Material;2025-12-15T20:43:00;
NP-BAR22-3000;Material;2025-12-15T20:43:00;
NP-BAR22-4000;Material;2025-12-15T20:43:00;
NP-CZ;Material;2025-12-15T20:43:00;
NP-SZ;Material;2025-12-15T20:43:00;
NP-T;Material;2025-12-15T20:43:00;
NP-TF;Material;2025-12-15T20:43:00;
NP-CL;Material;2025-12-15T20:43:00;
NP-CLT;Material;2025-12-15T20:43:00;
NP-CLB;Material;2025-12-15T20:43:00;
NP-SL;Material;2025-12-15T20:43:00;
NP-B-50m;Material;2025-12-15T20:43:00;
NP-MOT-10;Material;2025-12-15T20:43:00;
NP-MOT-20;Material;2025-12-15T20:43:00;
NP-HK;Material;2025-12-15T20:43:00;
TE-S-18;Material;2025-12-15T20:43:00;
TE-H-18;Material;2025-12-15T20:43:00;
TE-R-23;Material;2025-12-15T20:43:00;
TE-H-36;Material;2025-12-15T20:43:00;
TE-H-47;Material;2025-12-15T20:43:00;
SR-T;Material;2025-12-15T20:43:00;
SR-FSN;Material;2025-12-15T20:43:00;
SR-Z;Material;2025-12-15T20:43:00;
SR-CT;Material;2025-12-15T20:43:00;
ROL-P;Material;2025-12-15T20:43:00;
ROL-GYZ;Material;2025-12-15T20:43:00;
ROL-EZ;Material;2025-12-15T20:43:00;
ROL-RRG;Material;2025-12-15T20:43:00;
ROL-TRG;Material;2025-12-15T20:43:00;
